brand,model,body,color,year,fuel,kilometers,engine,transmission,price,gov
Hyundai,Accent,Sedan,Silver,2000,Benzine,119999,1000 - 1300 CC,Manual,56000.0,Cairo
Hyundai,Accent,Sedan,Other Color,2019,Benzine,89999,1000 - 1300 CC,Automatic,300000.0,Giza
Hyundai,Accent,Sedan,Gray,2022,Benzine,19999,1600 CC,Automatic,335000.0,Cairo
Hyundai,Accent,Sedan,Red,2012,Benzine,99999,1600 CC,Automatic,193000.0,Qalyubia
Hyundai,Accent,Sedan,Yellow,1999,Benzine,200000,1400 - 1500 CC,Manual,58000.0,Cairo
Hyundai,Accent,Sedan,Other Color,2005,Benzine,119999,1000 - 1300 CC,Manual,73000.0,Giza
Hyundai,Accent,Sedan,Other Color,1999,Benzine,19999,1400 - 1500 CC,Manual,78000.0,Giza
Hyundai,Accent,Sedan,Green,1999,Benzine,19999,1000 - 1300 CC,Manual,56000.0,Fayoum
Hyundai,Accent,Sedan,Blue- Navy Blue,1998,Benzine,19999,1400 - 1500 CC,Manual,65000.0,Cairo
Hyundai,Accent,Sedan,Silver,1998,Benzine,9999,1000 - 1300 CC,Manual,50000.0,Cairo
Hyundai,Accent,Sedan,Burgundy,1999,Benzine,19999,1000 - 1300 CC,Manual,60000.0,Suez
Hyundai,Accent,Sedan,Gold,1999,Benzine,179999,1600 CC,Manual,65000.0,Cairo
Hyundai,Accent,Sedan,Gray,2012,Benzine,29999,1600 CC,Manual,185000.0,Giza
Hyundai,Accent,Sedan,Silver,2012,Benzine,200000,1600 CC,Automatic,170000.0,Giza
Hyundai,Accent,Sedan,Other Color,1999,Benzine,200000,1000 - 1300 CC,Manual,63000.0,Dakahlia
Hyundai,Accent,Sedan,Red,2015,Benzine,119999,1600 CC,Automatic,205000.0,Gharbia
Hyundai,Accent,Sedan,Red,1999,Benzine,200000,1000 - 1300 CC,Manual,65000.0,Cairo
Hyundai,Accent,Sedan,Silver,2012,Benzine,9999,1600 CC,Manual,170000.0,Cairo
